Fluxo,Ano,Países,Valor US$ FOB
Exportação ,2023,Serra Leoa,44613646
Exportação ,2023,Sérvia,41889961
Exportação ,2023,Aruba,40758505
Exportação ,2023,Sri Lanka,40142962
Exportação ,2023,Cabo Verde,38926167
Exportação ,2023,Sudão,38253719
Exportação ,2023,Ucrânia,37755858
Exportação ,2023,Curaçao,37393183
Exportação ,2023,Camboja,37197876
Exportação ,2023,Palestina,32214955
Exportação ,2023,Moçambique,29709801
Exportação ,2023,Antígua e Barbuda,28494062
Exportação ,2023,Laos,27896478
Exportação ,2023,Azerbaijão,27665388
Exportação ,2023,Barbados,26312465
Exportação ,2023,Montenegro,25773291
Exportação ,2023,Ilha de Man,25769535
Exportação ,2023,Maldivas,24860011
Exportação ,2023,Eslováquia,24744773
Exportação ,2023,Armênia,24398447
Exportação ,2023,Etiópia,23597636
Exportação ,2023,Macedônia,22666642
Exportação ,2023,Guiné Equatorial,20899007
Exportação ,2023,Liechtenstein,18560049
Exportação ,2023,Timor Leste,16570260
Exportação ,2023,"Virgens, Ilhas (Britânicas)",16518597
Exportação ,2023,Namíbia,16091215
Exportação ,2023,Síria,15326031
Exportação ,2023,Granada,15042331
Exportação ,2023,Belize,14751261
Exportação ,2023,Sint Maarten,13696423
Exportação ,2023,Martinica,11477525
Exportação ,2023,Seicheles,11448158
Exportação ,2023,Zimbábue,10873909
Exportação ,2023,Nova Caledônia,10294012
Exportação ,2023,Uganda,10280197
Exportação ,2023,Guadalupe,9793073
Exportação ,2023,"Cayman, Ilhas",9184804
Exportação ,2023,Comores,8268247
Exportação ,2023,Guiana Francesa,8145903
Exportação ,2023,Chade,7737618
Exportação ,2023,Mayotte,7351476
Exportação ,2023,Zâmbia,7114366
Exportação ,2023,República Centro-Africana,6988372
Exportação ,2023,Guiné-Bissau,6461925
Exportação ,2023,Belarus,6364113
Exportação ,2023,São Cristóvão e Névis,6127324
Exportação ,2023,Dominica,5587092
Exportação ,2023,Reunião,5549117
Exportação ,2023,Sudão do Sul,5393613
Exportação ,2023,Tonga,5316438
Exportação ,2023,São Vicente e Granadinas,5089881
Exportação ,2023,Polinésia Francesa,4885631
Exportação ,2023,Burkina Faso,4178765
Exportação ,2023,Afeganistão,4025760
Exportação ,2023,São Tomé e Príncipe,3720760
Exportação ,2023,"Bonaire, Saint Eustatius e Saba",3435939
Exportação ,2023,Butão,3341419
Exportação ,2023,Mali,3302141
Exportação ,2023,Bermudas,3245417
Exportação ,2023,Malavi,3080472
Exportação ,2023,Moldávia,2972726
Exportação ,2023,Mongólia,2867232
Exportação ,2023,Macau,2811310
Exportação ,2023,Bósnia-Herzegovina,2732852
Exportação ,2023,Tadjiquistão,2277225
Exportação ,2023,São Bartolomeu,2219522
Exportação ,2023,"Turcas e Caicos, Ilhas",2154364
Exportação ,2023,Botsuana,2145461
Exportação ,2023,Palau,2106224
Exportação ,2023,Papua Nova Guiné,2105716
Exportação ,2023,Níger,2040913
Exportação ,2023,Samoa,1997224
Exportação ,2023,Samoa Americana,1834510
Exportação ,2023,Ruanda,1559952
Exportação ,2023,Nepal,1542194
Exportação ,2023,Guam,1528334
Exportação ,2023,Fiji,1218008
Exportação ,2023,Anguilla,1182864
Exportação ,2023,"Heard e ilhas mcdonald, Ilha",1119497
Exportação ,2023,Quirguistão,1057865
Exportação ,2023,Santa Helena,905224
Exportação ,2023,Turcomenistão,889489
Exportação ,2023,"São Martinho, Ilha de (parte francesa)",874608
Exportação ,2023,Mônaco,847460
Exportação ,2023,"Pacífico, Ilhas do (EUA)",678524
Exportação ,2023,Brunei,631394
Exportação ,2023,"Cook, Ilhas",573051
Exportação ,2023,Vanuatu,480747
Exportação ,2023,Burundi,304909
Exportação ,2023,"Norfolk, Ilha",294729
Exportação ,2023,Falkland (Malvinas),226347
Exportação ,2023,Montserrat,220382
Exportação ,2023,Terras Austrais Francesas,216040
Exportação ,2023,"Cocos (Keeling), Ilhas",184416
Exportação ,2023,Micronésia,176587
Exportação ,2023,Niue,140519
Exportação ,2023,Território Britânico do Oceano Índico,118976
Exportação ,2023,Coreia do Norte,98191
Exportação ,2023,"Salomão, Ilhas",95356
Exportação ,2023,Lesoto,84288
Exportação ,2023,Andorra,72851
Exportação ,2023,Jersey,71640
Exportação ,2023,Eritreia,55635
Exportação ,2023,"Faroe, Ilhas",54501
Exportação ,2023,Groenlândia,52867
Exportação ,2023,San Marino,51299
Exportação ,2023,"Wallis e Futuna, Ilhas",44955
Exportação ,2023,Pitcairn,44843
Exportação ,2023,Saara Ocidental,42390
Exportação ,2023,Kiribati,34502
Exportação ,2023,"Aland, Ilhas",31892
Exportação ,2023,Toquelau,27517
Exportação ,2023,Nauru,18351
Exportação ,2023,Suazilândia,1714
Exportação ,2023,Guernsey,977
Exportação ,2023,Svalbard e Jan Mayen,595
Exportação ,2023,Tuvalu,359
Exportação ,2023,Vaticano,121
Exportação ,2022,China,89427761284
Exportação ,2022,Estados Unidos,37437814354
Exportação ,2022,Argentina,15344651930
Exportação ,2022,Países Baixos (Holanda),11927910064
Exportação ,2022,Espanha,9747538076
Exportação ,2022,Chile,9094253694
Exportação ,2022,Singapura,8396198951
Exportação ,2022,México,7050909571
Exportação ,2022,Japão,6619791049
Exportação ,2022,Índia,6301513662
Exportação ,2022,Alemanha,6269326305
Exportação ,2022,Coreia do Sul,6205931665
Exportação ,2022,Canadá,5396844717
Exportação ,2022,Colômbia,5058074609
Exportação ,2022,Itália,4891739114
Exportação ,2022,Bélgica,4375810308
Exportação ,2022,Portugal,4287299907
Exportação ,2022,Irã,4285851065
Exportação ,2022,Malásia,3841774337
Exportação ,2022,Reino Unido,3669494025
Exportação ,2022,Turquia,3550700024
Exportação ,2022,Tailândia,3524292636
Exportação ,2022,Paraguai,3519019653
Exportação ,2022,França,3486660866
Exportação ,2022,Peru,3480152839
Exportação ,2022,Vietnã,3418723756
Exportação ,2022,Emirados Árabes Unidos,3253697551
Exportação ,2022,Indonésia,3095480738
Exportação ,2022,Arábia Saudita,2914703978
Exportação ,2022,Uruguai,2900349856
Exportação ,2022,Egito,2842512911
Exportação ,2022,Bangladesh,2352030735
Exportação ,2022,Rússia,1959195743
Exportação ,2022,Argélia,1917776167
Exportação ,2022,Israel,1883514470
Exportação ,2022,Bolívia,1832686782
Exportação ,2022,África do Sul,1724159853
Exportação ,2022,Filipinas,1528796976
Exportação ,2022,Paquistão,1440918286
Exportação ,2022,Barein,1415140540
Exportação ,2022,Taiwan (Formosa),1415138409
Exportação ,2022,Noruega,1356210681
Exportação ,2022,Hong Kong,1339726057
Exportação ,2022,Venezuela,1329070688
Exportação ,2022,Suíça,1182956461
Exportação ,2022,Equador,1123099456
Exportação ,2022,Polônia,1083550654
Exportação ,2022,Marrocos,1067756229
Exportação ,2022,República Dominicana,1043591361
Exportação ,2022,Omã,1040690852
Exportação ,2022,Nigéria,875278592
Exportação ,2022,Panamá,854774181
Exportação ,2022,Suécia,790881337
Exportação ,2022,Austrália,732783993
Exportação ,2022,Angola,640321765
Exportação ,2022,Finlândia,636444920
Exportação ,2022,Iraque,613363073
Exportação ,2022,Guatemala,564740886
Exportação ,2022,Costa Rica,544675526
Exportação ,2022,Eslovênia,515949293
Exportação ,2022,"Virgens, Ilhas (Americanas)",502583503
Exportação ,2022,Libéria,500962933
Exportação ,2022,Dinamarca,478856383
Exportação ,2022,"Marshall, Ilhas",423699605
Exportação ,2022,Catar,411241720
Exportação ,2022,Romênia,400803311
Exportação ,2022,Jordânia,399921468
Exportação ,2022,Grécia,351561324
Exportação ,2022,Jamaica,350356448
Exportação ,2022,Geórgia,328171305
Exportação ,2022,Iêmen,327830114
Exportação ,2022,Bulgária,323078771
Exportação ,2022,Bahamas,322407850
Exportação ,2022,Líbia,320013073
Exportação ,2022,Tunísia,309163926
Exportação ,2022,Coveite (Kuweit),300939623
Exportação ,2022,Irlanda,298211063
Exportação ,2022,Gana,296357537
Exportação ,2022,Senegal,295961578
Exportação ,2022,Cuba,289925970
Exportação ,2022,Trinidad e Tobago,281168966
Exportação ,2022,Togo,274099630
