Fluxo,Ano,Países,Valor US$ FOB
Importação ,2023,Cabo Verde,58411
Importação ,2023,Guiné Equatorial,53188
Importação ,2023,Polinésia Francesa,52864
Importação ,2023,Montenegro,52130
Importação ,2023,Suriname,48216
Importação ,2023,Somália,48118
Importação ,2023,Nova Caledônia,47568
Importação ,2023,Antígua e Barbuda,38218
Importação ,2023,Botsuana,34923
Importação ,2023,"Virgens, Ilhas (Americanas)",34798
Importação ,2023,Sudão,33204
Importação ,2023,Groenlândia,31392
Importação ,2023,Gâmbia,29594
Importação ,2023,Fiji,28200
Importação ,2023,Ilha de Man,27659
Importação ,2023,Chade,27508
Importação ,2023,Santa Helena,26154
Importação ,2023,São Cristóvão e Névis,20461
Importação ,2023,Montserrat,20207
Importação ,2023,Guiné,18312
Importação ,2023,Níger,18040
Importação ,2023,Bahamas,15356
Importação ,2023,Aruba,14702
Importação ,2023,Niue,12669
Importação ,2023,Timor Leste,12624
Importação ,2023,"Salomão, Ilhas",11770
Importação ,2023,Guernsey,11163
Importação ,2023,"Bouvet, Ilha",10311
Importação ,2023,Dominica,8999
Importação ,2023,Palau,7881
Importação ,2023,Lesoto,7722
Importação ,2023,"Turcas e Caicos, Ilhas",7377
Importação ,2023,Reunião,6409
Importação ,2023,"Bonaire, Saint Eustatius e Saba",5908
Importação ,2023,Território Britânico do Oceano Índico,5748
Importação ,2023,Pitcairn,5611
Importação ,2023,Coreia do Norte,5225
Importação ,2023,Micronésia,4813
Importação ,2023,Burundi,4642
Importação ,2023,Martinica,4590
Importação ,2023,"Heard e ilhas mcdonald, Ilha",4280
Importação ,2023,Santa Lúcia,3761
Importação ,2023,Djibuti,3185
Importação ,2023,São Vicente e Granadinas,3172
Importação ,2023,Ruanda,3077
Importação ,2023,Burkina Faso,1972
Importação ,2023,Iêmen,1968
Importação ,2023,"Norfolk, Ilha",1816
Importação ,2023,Nauru,1576
Importação ,2023,Antártica,1397
Importação ,2023,Granada,1007
Importação ,2023,Sint Maarten,695
Importação ,2023,Guiana Francesa,556
Importação ,2023,Terras Austrais Francesas,407
Importação ,2023,Svalbard e Jan Mayen,273
Importação ,2023,São Tomé e Príncipe,242
Importação ,2023,Tuvalu,186
Importação ,2023,"Faroe, Ilhas",168
Importação ,2023,"Cook, Ilhas",146
Importação ,2023,Jersey,118
Importação ,2023,Mali,113
Importação ,2023,Bancos Centrais,50
Importação ,2023,Falkland (Malvinas),49
Importação ,2023,Guam,45
Importação ,2023,Guadalupe,38
Importação ,2023,Kiribati,8
Importação ,2022,China,60743964876
Importação ,2022,Estados Unidos,51304351542
Importação ,2022,Argentina,13099925718
Importação ,2022,Alemanha,12807743944
Importação ,2022,Índia,8850184730
Importação ,2022,Rússia,7853002061
Importação ,2022,Itália,5568526403
Importação ,2022,Coreia do Sul,5462676098
Importação ,2022,Arábia Saudita,5306342358
Importação ,2022,Japão,5299808048
Importação ,2022,México,5283467560
Importação ,2022,Canadá,5164748559
Importação ,2022,França,4961309670
Importação ,2022,Chile,4621318682
Importação ,2022,Espanha,3770808430
Importação ,2022,Paraguai,3636167344
Importação ,2022,Bélgica,3528391407
Importação ,2022,Vietnã,2983563219
Importação ,2022,Taiwan (Formosa),2806377365
Importação ,2022,Reino Unido,2785178273
Importação ,2022,Países Baixos (Holanda),2752651957
Importação ,2022,Austrália,2667614777
Importação ,2022,Emirados Árabes Unidos,2514142085
Importação ,2022,Suíça,2460019045
Importação ,2022,Colômbia,2366689224
Importação ,2022,Suécia,2178691354
Importação ,2022,Tailândia,2177959860
Importação ,2022,Israel,2118584273
Importação ,2022,Nigéria,2105900817
Importação ,2022,Marrocos,2064255164
Importação ,2022,Indonésia,1863770710
Importação ,2022,Uruguai,1836155690
Importação ,2022,Bolívia,1807926142
Importação ,2022,Malásia,1519740958
Importação ,2022,Peru,1437031704
Importação ,2022,Áustria,1379501542
Importação ,2022,Turquia,1334100194
Importação ,2022,Catar,1208595393
Importação ,2022,Argélia,1182453815
Importação ,2022,Omã,1160105747
Importação ,2022,Finlândia,1141789538
Importação ,2022,Dinamarca,1055065295
Importação ,2022,Noruega,1009130643
Importação ,2022,Singapura,996474608
Importação ,2022,Portugal,989988297
Importação ,2022,Polônia,927113085
Importação ,2022,África do Sul,907881966
Importação ,2022,Hong Kong,818288161
Importação ,2022,Irlanda,779263865
Importação ,2022,Angola,766717993
Importação ,2022,"Tcheca, República",671895523
Importação ,2022,Egito,640115488
Importação ,2022,Trinidad e Tobago,632283243
Importação ,2022,Guiana,567804353
Importação ,2022,Hungria,487733076
Importação ,2022,Congo,449870836
